,Tag,Class,Movie Number,Movie Name,Description
0,h3,listicleItem_listicle-item__title__BfenH,100,Reservoir Dogs,Making his uber cool and supremely confident direc
1,h3,listicleItem_listicle-item__title__BfenH,99),Groundhog Day,Bill Murray is at the height of his (eventually) l
2,h3,listicleItem_listicle-item__title__BfenH,98),Paddington 2,"When the first Paddington was on the way, early tr"
3,h3,listicleItem_listicle-item__title__BfenH,97),Amelie,Jean-Pierre Jeunet's fourth feature – his second a
4,h3,listicleItem_listicle-item__title__BfenH,96),Brokeback Mountain,Ang Lee's adaptation of Annie Proulx's short story
5,h3,listicleItem_listicle-item__title__BfenH,95),Donnie Darko,"A high school drama with a time traveling, tangent"
6,h3,listicleItem_listicle-item__title__BfenH,94),Scott Pilgrim Vs. The World,"With Scott Pilgrim Vs. The World, Edgar Wright lea"
7,h3,listicleItem_listicle-item__title__BfenH,93),Portrait Of A Lady On Fire,"Celine Sciamma's magnetic, masterful lesbian roman"
8,h3,listicleItem_listicle-item__title__BfenH,92),Léon,"In some ways, Luc Besson's first English-language "
9,h3,listicleItem_listicle-item__title__BfenH,91),Logan,If you're going to wrap up your tenure as one of t
10,h3,listicleItem_listicle-item__title__BfenH,90),The Terminator,After his directorial debut Piranha II: Flying Kil
11,h3,listicleItem_listicle-item__title__BfenH,89),No Country For Old Men,A perfect meeting of two creative forces' artistic
12,h3,listicleItem_listicle-item__title__BfenH,88),Titanic,What to say about James Cameron's epic romantic tr
13,h3,listicleItem_listicle-item__title__BfenH,87),The Exorcist,For many still the definitive exorcism film (sorry
14,h3,listicleItem_listicle-item__title__BfenH,86),Black Panther,After his standout introduction in Captain America
15,h3,listicleItem_listicle-item__title__BfenH,85),Shaun Of The Dead,"Before its release, you might have been forgiven f"
16,h3,listicleItem_listicle-item__title__BfenH,84),Lost In Translation,"With her sophomore feature, Sofia Coppola took a f"
17,h3,listicleItem_listicle-item__title__BfenH,83),Thor: Ragnarok,"A significant factor in the success of the MCU, es"
18,h3,listicleItem_listicle-item__title__BfenH,82),The Usual Suspects,Five criminals are brought together to pull off a 
19,h3,listicleItem_listicle-item__title__BfenH,81),Psycho,Imagine what it would've been like to go and see P
20,h3,listicleItem_listicle-item__title__BfenH,80),L.A. Confidential,"Famously dense, knottily plotted, and told in a st"
21,h3,listicleItem_listicle-item__title__BfenH,79),E.T. – The Extra Terrestrial,"With the ""Amblin"" style so regularly referenced th"
22,h3,listicleItem_listicle-item__title__BfenH,78),In The Mood For Love,"Years before battling Shang-Chi in the MCU, Hong K"
23,h3,listicleItem_listicle-item__title__BfenH,77),Star Wars: Return Of The Jedi,"In this post-Phantom Menace world, the Ewoks don't"
24,h3,listicleItem_listicle-item__title__BfenH,76),Arrival,"Denis Villeneuve's empathic, perception-bending al"
25,h3,listicleItem_listicle-item__title__BfenH,75),A Quiet Place,"Take a simple concept (don't make a sound, or alie"
26,h3,listicleItem_listicle-item__title__BfenH,74),Trainspotting,"For their follow up to the superb Shallow Grave, D"
27,h3,listicleItem_listicle-item__title__BfenH,73),Mulholland Drive,David Lynch messes with Hollywood itself in a myst
28,h3,listicleItem_listicle-item__title__BfenH,72),Rear Window,Photographer LB Jeffries (James Stewart) is on sic
29,h3,listicleItem_listicle-item__title__BfenH,71),Up,A lot has been said about the opening to Pete Doct
30,h3,listicleItem_listicle-item__title__BfenH,70),Spider-Man: Into The Spider-Verse,Having Phil Lord and Chris Miller's names on a mov
31,h3,listicleItem_listicle-item__title__BfenH,69),Inglourious Basterds,From its Sergio Leone-riffing opening to its insan
32,h3,listicleItem_listicle-item__title__BfenH,68),Lady Bird,"With her directorial debut, the wry wit and emotio"
33,h3,listicleItem_listicle-item__title__BfenH,67),Singin' In The Rain,"A joyous, vibrant Technicolor celebration of the m"
34,h3,listicleItem_listicle-item__title__BfenH,66),One Flew Over The Cuckoo's Nest,Ken Kesey's era-defining novel was in good hands w
35,h3,listicleItem_listicle-item__title__BfenH,65),Seven Samurai,A film so good they remade it twice — as The Magni
36,h3,listicleItem_listicle-item__title__BfenH,64),La La Land,As much a technical marvel as it is an acting tour
37,h3,listicleItem_listicle-item__title__BfenH,63),Get Out,Even given the darker tones of a few Key And Peele
38,h3,listicleItem_listicle-item__title__BfenH,62),Lawrence Of Arabia,"If you only ever see one David Lean movie... well,"
39,h3,listicleItem_listicle-item__title__BfenH,61),Pan's Labyrinth,"Guillermo Del Toro's fairy tale for grown-ups, as "
40,h3,listicleItem_listicle-item__title__BfenH,60),Hot Fuzz,"Edgar Wright, Simon Pegg and Nick Frost's tribute "
41,h3,listicleItem_listicle-item__title__BfenH,59),Moonlight,"Adapted from Tarell Alvin's play In Moonlight, Bla"
42,h3,listicleItem_listicle-item__title__BfenH,58),Guardians Of The Galaxy,Marvel took one of its biggest swings with this sp
43,h3,listicleItem_listicle-item__title__BfenH,57),Blade Runner 2049,Putting together the director of Arrival with a sc
44,h3,listicleItem_listicle-item__title__BfenH,56),The Social Network,"Or, I'm Gonna Git You Zuckerberg. Portrayed as an "
45,h3,listicleItem_listicle-item__title__BfenH,55),Taxi Driver,Martin Scorsese and Paul Schrader's gripping portr
46,h3,listicleItem_listicle-item__title__BfenH,54),Saving Private Ryan,"The sheer bludgeoning, blood-spilling, visceral po"
47,h3,listicleItem_listicle-item__title__BfenH,53),Forrest Gump,Robert Zemeckis' affable stroll through some of Am
48,h3,listicleItem_listicle-item__title__BfenH,52),Point Break,"""Ever fired your gun in the air and gone 'Ahhhh?'"""
49,h3,listicleItem_listicle-item__title__BfenH,51),Whiplash,If Damien Chazelle's semi-autobiographical drama t
50,h3,listicleItem_listicle-item__title__BfenH,50),Vertigo,"If Psycho was Hitchcock's big shocker, then Vertig"
51,h3,listicleItem_listicle-item__title__BfenH,49),Spirited Away,"For a Western world raised on Disney movies, Spiri"
52,h3,listicleItem_listicle-item__title__BfenH,48),Ghostbusters,"As high-concept comedies go, Ghostbusters is posit"
53,h3,listicleItem_listicle-item__title__BfenH,47),Do The Right Thing,Spike Lee had already caused a stir with his first
54,h3,listicleItem_listicle-item__title__BfenH,46),Schindler's List,"Spielberg's masterpiece, hands down. You might say"
55,h3,listicleItem_listicle-item__title__BfenH,45),The Big Lebowski,You've got to hand it to the Coen brothers. Not on
56,h3,listicleItem_listicle-item__title__BfenH,44),It's A Wonderful Life,Frank Capra's Christmas fantasy was the movie that
57,h3,listicleItem_listicle-item__title__BfenH,43),There Will Be Blood,"If America were a person, then oil man Daniel Plai"
58,h3,listicleItem_listicle-item__title__BfenH,42),12 Angry Men,Juries most often amount to little more than set d
59,h3,listicleItem_listicle-item__title__BfenH,41),The Silence Of The Lambs,Not only the first horror to win a Best Picture Os
60,h3,listicleItem_listicle-item__title__BfenH,40),Citizen Kane,"Orson Welles' game-changing fictional biopic, that"
61,h3,listicleItem_listicle-item__title__BfenH,39),Gladiator,Ridley Scott's comeback (after a bad run with 1492
62,h3,listicleItem_listicle-item__title__BfenH,38),"The Good, The Bad And The Ugly",Sergio Leone sets three renegades against each oth
63,h3,listicleItem_listicle-item__title__BfenH,37),Se7en,Aka David Fincher's second debut movie. What sound
64,h3,listicleItem_listicle-item__title__BfenH,36),Eternal Sunshine Of The Spotless Mind,Director Michel Gondry and screenwriter Charlie Ka
65,h3,listicleItem_listicle-item__title__BfenH,35),The Shining,Stanley Kubrick's elegant adaptation of Stephen Ki
66,h3,listicleItem_listicle-item__title__BfenH,34),The Lord Of The Rings: The Two Towers,"Aside from Boromir, Aragorn and the small-town den"
67,h3,listicleItem_listicle-item__title__BfenH,33),Casablanca,When you've got such a clear-cut good-vs-evil scen
68,h3,listicleItem_listicle-item__title__BfenH,32),The Thing,Any argument about whether or not modern remakes c
69,h3,listicleItem_listicle-item__title__BfenH,31),Interstellar,Christopher Nolan's tribute to 2001 and The Right 
70,h3,listicleItem_listicle-item__title__BfenH,30),Heat,Michael Mann's starry upgrade of his TV movie LA T
71,h3,listicleItem_listicle-item__title__BfenH,29),Apocalypse Now,The film-maker go-to movie du jour. Gareth Edwards
72,h3,listicleItem_listicle-item__title__BfenH,28),Indiana Jones And The Last Crusade,You voted... wisely. There may only be 12 years' d
73,h3,listicleItem_listicle-item__title__BfenH,27),The Lord Of The Rings The Return Of The King,Anyone who bangs on about all those endings is mis
74,h3,listicleItem_listicle-item__title__BfenH,26),Die Hard,One man using only his wits and whatever he can ex
75,h3,listicleItem_listicle-item__title__BfenH,25),Fight Club,After all the pre-release hype about how dark and 
76,h3,listicleItem_listicle-item__title__BfenH,24),Terminator 2 Judgment Day,Making Arnie's T-800 a protector rather than kille
77,h3,listicleItem_listicle-item__title__BfenH,23),2001: A Space Odyssey,"You've voted it your favourite Kubrick movie, whic"
78,h3,listicleItem_listicle-item__title__BfenH,22),Avengers: Endgame,What does it take to dethrone James Cameron? A blo
79,h3,listicleItem_listicle-item__title__BfenH,21),Alien,"On the one hand, re-watching Ridley Scott's deep-s"
80,h3,listicleItem_listicle-item__title__BfenH,20),The Matrix,How two sibling indie film-makers with only a slic
81,h3,listicleItem_listicle-item__title__BfenH,19),Inception,Will Christopher Nolan ever make a Bond movie? Wel
82,h3,listicleItem_listicle-item__title__BfenH,18),Parasite,Few award ceremony moments stick in the mind more 
83,h3,listicleItem_listicle-item__title__BfenH,17),Aliens,The genius of James Cameron's self-penned Alien fo
84,h3,listicleItem_listicle-item__title__BfenH,16),Blade Runner,"Rain-lashed, noodle-bar-packed streets shrouded in"
85,h3,listicleItem_listicle-item__title__BfenH,15),Jurassic Park,"When dinosaurs first ruled the movie-Earth, they d"
86,h3,listicleItem_listicle-item__title__BfenH,14),The Godfather Part II,"Often cited as the greatest-ever sequel, TGPII, as"
87,h3,listicleItem_listicle-item__title__BfenH,13),Back To The Future,"Part science-fiction caper, part generational cult"
88,h3,listicleItem_listicle-item__title__BfenH,12),Mad Max: Fury Road,In which old dog George Miller taught Hollywood so
89,h3,listicleItem_listicle-item__title__BfenH,11),Star Wars,"George Lucas' cocktail of fantasy, sci-fi, Western"
90,h3,listicleItem_listicle-item__title__BfenH,10),Goodfellas,Where Coppola embroiled us in the politics of the 
91,h3,listicleItem_listicle-item__title__BfenH,9),Raiders Of The Lost Ark,"In '81, it must have sounded like the ultimate pit"
92,h3,listicleItem_listicle-item__title__BfenH,8),Avengers: Infinity War,It was the biggest crossover event in cinematic hi
93,h3,listicleItem_listicle-item__title__BfenH,7),Pulp Fiction,If Reservoir Dogs was a blood-spattered calling ca
94,h3,listicleItem_listicle-item__title__BfenH,6),Jaws,"Forty-five years young, and Spielberg's breakthrou"
95,h3,listicleItem_listicle-item__title__BfenH,5),The Shawshank Redemption,"The warm, leathery embrace of Morgan Freeman's nar"
96,h3,listicleItem_listicle-item__title__BfenH,4),The Dark Knight,Easily as influential on the genre as that other s
97,h3,listicleItem_listicle-item__title__BfenH,3),The Godfather,Stanley Kubrick once described Francis Ford Coppol
98,h3,listicleItem_listicle-item__title__BfenH,2),Star Wars: The Empire Strikes Back,"The original ""this one's darker"" sequel, and by fa"
99,h3,listicleItem_listicle-item__title__BfenH,1),The Lord Of The Rings: The Fellowship Of The Ring,A wizard is never late. Nor is he early. He arrive
